Id,Autor,Titel,Jahr,Typ,Zeitschrift,Thema1,Cluster,Gamification,Abstraktion,Institution,Zugriff,Preis,Dokumentation,Zitationen
1,"P. W. C. Prasad, A. Alsadoon, A. Beg, A. Chan ",Using Simulators for Teaching Computer Organization And Architecture,2016,Journal Article,Computer Applications in Engineering Education,Assembler,Programmierung,0,1,1,3,0,0,41
2,"Z. Radivojevic, Z. Stanisavljevic, M. Punt",Configurable Simulator For Computer Architecture And Organization,2018,Journal Article,Computer Applications in Engineering Education,Prozessor,Prozessoren und Architekturen,0,1,1,2,2,2,9
3,"D. Camarmas-Alonso,  F. Garcia-Carballeira,  A. Calderon-Mateos,  E. del-Pozo-Punal",CREATOR: An Educational Integrated Development Environment for RISC-V Programming,2024,Journal Article,IEEE Access,RISC,Prozessoren und Architekturen,0,1,1,0,0,0,4
4,"M. Dogan, K. Ötzoprak, M. Resit Tolun",Teaching Computer Architecture by Designing and Simulating Processors from their Bits and Bytes,2024,Journal Article,PeerJ Computer Science,MIPS,Prozessoren und Architekturen,0,1,1,1,0,0,2
5,"P. Fuentes, C. Camarero, D. Herreros, V. Mateev, F. Vallejo, C. Martinez",Addressing Student Fatigue in Computer Architecture Courses,2022,Journal Article,IEEE Transactions on Learning Technologies,Einsatz echter Hardware,Hardware und Logik,0,0,1,1,2,0,5
6,"L. Moreno, C. Gonzalez, I. Castilla, E. Gonzalez, J. Sigue",Applying a Constructivist and Collaborative Methodological Approach in Engineering Education,2007,Journal Article,Computers and Education,Superskalarität,Prozessoren und Architekturen,0,1,1,3,0,0,172
7,"B. Garcia Fernandez, X. Del Toro, M. J. Santofimia, J. Dorado, F. J. Villanueva, D. Villa",Robotics vs. Game-Console-Based Platforms to Learn Computer Architecture,2020,Journal Article,IEEE Access,Einsatz echter Hardware,Hardware und Logik,0,0,1,2,1,2,9
8,"D. Patti, A. Spadaccini, M. Palesi, F. Fazzino, V. Catania",Supporting Undergraduate Computer Architecture Students Using a Visual MIPS64 CPU Simulator,2012,Journal Article,IEEE Transactions on Education,MIPS,Prozessoren und Architekturen,0,1,1,3,0,0,39
9,"J. Michelic, T Dobravec",SicSim: A Simulator of the Educational SIC/XE Computer for a System Software Course,2015,Journal Article,Computer Applications in Engineering Education,Prozessor,Prozessoren und Architekturen,0,1,1,0,0,0,17
10,"J. H. Lee, S. S. Lee, H. Chang Yu, T. Su",Pipelined CPU Design With FPGA in Teaching Computer Architecture,2012,Journal Article,IEEE Transactions on Education,Pipelining,Prozessoren und Architekturen,0,1,1,0,1,0,56
11,"S. Z. Sweidan, K. A. Darabkh",A new Efficient Assembly Language Teaching Aid for Intel Processors,2015,Journal Article,Computer Applications in Engineering Education,Assembler,Programmierung,0,1,1,2,2,1,18
12,L. Ribas-Xirgo,Yet Another Simple Processor (YASP) for Introductory Courses on Computer Architecture,2010,Journal Article,IEEE Transactions on Industrial Electronics,Prozessor,Prozessoren und Architekturen,0,1,1,3,0,0,11
13,"J. Djordjevic, B. Nikolic, A. Milenkovic",Flexible Web-Based Educational System form Teaching Computer Architecture and Organization,2005,Journal Article,IEEE Transactions on Education,Rechnerarchitektur,Grundlagen und Theorien,0,1,1,0,0,0,117
14,"S. N. Soares, F. R. Wagner",T\&D-Bench-Innovative Combined Support for Education and Research in Computer Architecture and Embedded Systems,2011,Journal Article,IEEE Transactions on Education,ADL,Grundlagen und Theorien,0,1,1,2,2,2,15
15,"C. Gomez, M. E. Gomez, J. Sahuquillo",Bringing Real Processors to Labs,2015,Journal Article,Computer Applications in Engineering Education,Prozessor,Prozessoren und Architekturen,0,1,1,1,0,0,4
16,"L. Moreno, E. J. Gonzales, B. Popescu, J. Toledo, J. Torres, C. Gonzales",MNEME: A Memory Hierarchy Simulator for an Engineering Computer Architecture Course,2011,Journal Article,Computer Applications in Engineering Education,Speicherhierarchie,Speicher und Performance,0,1,1,1,0,0,10
17,"L. Jingmei, W. Yanxia, Z. Guoyin, M. Chaoguang, L. Xiang, S. Changting",Application of WINDLX Simulator in Teaching Practice to Solve the Structural and Control Related in the Pipeline,2018,Book Section,"E-Learning, e-Education and Online Training",Pipelining,Prozessoren und Architekturen,0,1,1,1,2,0,0
18,"L. Moreno, C. Gonzalez, I. Castilla, E. Gonzalez, J. Sigue",Use of Constructivism and Collaborative Teaching in an ILP Processors Course,2007,Journal Article,IEEE Transactions on Education,Superskalarität,Prozessoren und Architekturen,0,1,1,3,0,0,56
19,"N. Gbanovic, J. Djordjevic, B. Nikolic",Software Package for an Educational Computer System,2003,Journal Article,International Journal of Electrical Engineering an Education,Prozessor,Prozessoren und Architekturen,0,1,1,2,2,2,3
20,"C. Yehezkel, W. Yurcik, M. Pearson, D. Armstrong","Three Simulator Tools for Teaching Computer Architecture: EasyCPU, Little Man Computer, and RTLSim",2001,Journal Article,Journal on Educational Resources in Computing,CPU,Prozessoren und Architekturen,0,1,1,1,0,0,95
21,"L. Null, J. Lobur",MarieSim: The MARIE Computer Simulator,2003,Journal Article,Journal on Educational Resources in Computing,Assembler,Programmierung,0,1,1,1,0,0,51
22,D. Skrien,CPU Sim 3.1: A Tool for Simulating Computer Architectures for Computer Organization Classes,2001,Journal Article,Journal on Educational Resources in Computing,CPU,Prozessoren und Architekturen,0,1,1,1,0,0,72
23,B. J. Shelburne,A PDP-8 Emulator Program,2002,Journal Article,Journal on Educational Resources in Computing,Assembler,Programmierung,0,1,1,0,0,0,5
24,"B. Dugan, J. Zahorjan",The Sloop ISA and the SMOK Toolkit,2002,Journal Article,Journal on Educational Resources in Computing,Prozessor,Prozessoren und Architekturen,0,1,1,2,2,0,3
25,F. Menczer,OAMulator: A Teaching Resource to Introduce Computer Architecture Concepts,2001,Journal Article,Journal on Educational Resources in Computing,Assembler,Programmierung,0,1,1,0,0,0,10
26,H. Osborne,The Postroom Computer,2001,Journal Article,Journal on Educational Resources in Computing,CPU,Prozessoren und Architekturen,0,1,1,2,2,2,11
27,P. M. Papazoglou,A Hybrid Simulation Platform for Learning Microprozessors,2018,Journal Article,Computer Applications in Engineering Education,Mikroprozessor,Prozessoren und Architekturen,0,1,1,1,2,0,6
